sub_region_1,parks_percent_change,work_percent_change
Jambi,40.5593220338983,13.604519774011301
Maluku,91.344632768361649,-3.0282485875706215
Central Java,39.4632768361582,9.53107344632768
North Kalimantan,49.322033898305079,4.751412429378532
Riau Islands,26.457627118644076,-6.8305084745762716
West Sulawesi,46.090395480225986,14.610169491525424
West Nusa Tenggara,48.096045197740111,6.3898305084745761
West Papua,-4.1751412429378529,2.5197740112994333
South Sumatra,65.581920903954824,7.1242937853107335
North Sulawesi,23.954802259887018,7.4802259887005631
Central Kalimantan,55.847457627118615,10.49152542372881
Central Sulawesi,104.84180790960446,20.994350282485872
West Sumatra,47.067796610169516,11.576271186440676
South Kalimantan,33.587570621468906,7.94915254237288
Gorontalo,70.711864406779654,11.994350282485875
Papua,36.485875706214678,1.5536723163841817
Riau,96.909604519774035,9.0225988700564947
Bengkulu,22.508474576271198,10.192090395480227
West Java,43.576271186440678,1.0677966101694909
South East Sulawesi,65.192090395480236,23.67796610169491
North Sumatra,40.1864406779661,2.4858757062146903
South Sulawesi,50.875706214689295,0.79096045197740106
Bangka Belitung Islands,67.016949152542409,4.3163841807909611
East Kalimantan,45.937853107344623,5.1807909604519784
East Nusa Tenggara,105.71186440677967,26.903954802259882
Banten,39.378531073446318,-2.8870056497175138
Jakarta,-14.372881355932208,-17.779661016949149
Bali,-11.10734463276836,-20.813559322033893
Lampung,46.231638418079108,9.0508474576271229
North Maluku,47.672316384180796,8.9378531073446243
,35.005649717514146,0.9152542372881356
West Kalimantan,14.768361581920907,1.949152542372881
Aceh,20.508474576271194,2.4293785310734459
Special Region of Yogyakarta,24.135593220338983,-2.6949152542372894
East Java,26.807909604519768,4.5141242937853123